Authors,Title,DOI,Link,Abstract,Author Keywords,Index Keywords
"Aalst W.M.P.","The Data Science Revolution: How Learning Machines Changed the Way We Work and Do Business","10.1007/978-3-030-64246-4_2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097338394&doi=10.1007%2f978-3-030-64246-4_2&partnerID=40&md5=03361cc1c313349e2c5ccab08736e435","Data science technology is rapidly changing the role of information technology in society and all economic sectors. Artificial Intelligence (AI) and Machine Learning (ML) are at the forefront of attention. However, data science is much broader and also includes data extraction, data preparation, data exploration, data transformation, storage and retrieval, computing infrastructures, other types of mining and learning, presentation of explanations and predictions, and the exploitation of results taking into account ethical, social, legal, and business aspects. This paper provides an overview of the field of data science also showing the main developments, thereby focusing on (1) the growing importance of learning from data (rather than modeling or programming), (2) the transfer of tasks from humans to (software) robots, and (3) the risks associated with data science (e.g., privacy problems, unfair or nontransparent decision making, and the market dominance of a few platform providers). © 2020, IFIP International Federation for Information Processing.","Artificial Intelligence; Big data; Data science; Machine learning; Responsible data science","Data Science; Decision making; Digital storage; Machine learning; Privacy by design; Professional aspects; Robot programming; Business aspects; Computing infrastructures; Data exploration; Data transformation; Learning machines; Science revolution; Science technologies; Storage and retrievals; Metadata"
"Aarset M.V., Johannessen L.K.","On Distributed Cognition While Designing an AI System for Adapted Learning","10.3389/frai.2022.910630","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135239557&doi=10.3389%2ffrai.2022.910630&partnerID=40&md5=5008056f113bca0e5ed1c0274334123c","When analyzing learning, focus has traditionally been on the teacher, but has in the recent decades slightly moved toward the learner. This is also reflected when supporting systems, both computer-based and more practical equipment, has been introduced. Seeing learning as an integration of both an internal psychological process of acquisition and elaboration, and an external interaction process between the learner and the rest of the learning environment though, we see the necessity of expanding the vision and taking on a more holistic view to include the whole learning environment. Specially, when introducing an AI (artificial intelligence) system for adapting the learning process to an individual learner through machine learning, this AI system should take into account both the learner and the other agents and artifacts being part of this extended learning system. This paper outlines some lessons learned in a process of developing an electronic textbook adapting to a single learner through machine learning, to the process of extracting input from and providing feedback both to the learner, the teacher, the learning institution, and the learning resources provider based on a XAI (explainable artificial intelligence) system while also taking into account characteristics with respect to the learner's peers. Copyright © 2022 Aarset and Johannessen.","adaptive learning; artificial intelligence; distributed cognition and learning; distributed situational awareness; stochastic processes",
"Aas K., Jullum M., Løland A.","Explaining individual predictions when features are dependent: More accurate approximations to Shapley values","10.1016/j.artint.2021.103502","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104452069&doi=10.1016%2fj.artint.2021.103502&partnerID=40&md5=2b180d6d1243e9227bf8188756da65f8","Explaining complex or seemingly simple machine learning models is an important practical problem. We want to explain individual predictions from such models by learning simple, interpretable explanations. Shapley value is a game theoretic concept that can be used for this purpose. The Shapley value framework has a series of desirable theoretical properties, and can in principle handle any predictive model. Kernel SHAP is a computationally efficient approximation to Shapley values in higher dimensions. Like several other existing methods, this approach assumes that the features are independent. Since Shapley values currently suffer from inclusion of unrealistic data instances when features are correlated, the explanations may be very misleading. This is the case even if a simple linear model is used for predictions. In this paper, we extend the Kernel SHAP method to handle dependent features. We provide several examples of linear and non-linear models with various degrees of feature dependence, where our method gives more accurate approximations to the true Shapley values. © 2021 The Authors","Dependence; Feature attribution; Kernel SHAP; Shapley values","Forecasting; Game theory; Machinery; Predictive analytics; Computationally efficient; Higher dimensions; Individual prediction; Linear modeling; Machine learning models; Non-linear model; Practical problems; Predictive modeling; Learning systems"
"Aasmets O., Lüll K., Lang J.M., Pan C., Kuusisto J., Fischer K., Laakso M., Lusis A.J., Org E.","Machine learning reveals time-varying microbial predictors with complex effects on glucose regulation","10.1128/MSYSTEMS.01191-20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102535413&doi=10.1128%2fMSYSTEMS.01191-20&partnerID=40&md5=faad4a4fae74964484d4d268c731c33e","The incidence of type 2 diabetes (T2D) has been increasing globally, and a growing body of evidence links type 2 diabetes with altered microbiota composition. Type 2 diabetes is preceded by a long prediabetic state characterized by changes in various metabolic parameters. We tested whether the gut microbiome could have predictive potential for T2D development during the healthy and prediabetic disease stages. We used prospective data of 608 well-phenotyped Finnish men collected from the population-based Metabolic Syndrome in Men (METSIM) study to build machine learning models for predicting continuous glucose and insulin measures in a shorter (1.5year) and longer (4year) period. Our results show that the inclusion of the gut microbiome improves prediction accuracy for modeling T2D-associated parameters such as glycosylated hemoglobin and insulin measures. We identified novel microbial biomarkers and described their effects on the predictions using interpretable machine learning techniques, which revealed complex linear and nonlinear associations. Additionally, the modeling strategy carried out allowed us to compare the stability of model performance and biomarker selection, also revealing differences in short-term and long-term predictions. The identified microbiome biomarkers provide a predictive measure for various metabolic traits related to T2D, thus providing an additional parameter for personal risk assessment. Our work also highlights the need for robust modeling strategies and the value of interpretable machine learning. IMPORTANCE Recent studies have shown a clear link between gut microbiota and type 2 diabetes. However, current results are based on cross-sectional studies that aim to determine the microbial dysbiosis when the disease is already prevalent. In order to consider the microbiome as a factor in disease risk assessment, prospective studies are needed. Our study is the first study that assesses the gut microbiome as a predictive measure for several type 2 diabetes-associated parameters in a longitudinal study setting. Our results revealed a number of novel microbial biomarkers that can improve the prediction accuracy for continuous insulin measures and glycosylated hemoglobin levels. These results make the prospect of using the microbiome in personalized medicine promising. Copyright © 2021 Aasmets et al.","Gut microbiome; Gut microbiome; Machine learning; Prediction analysis; T2D; Type 2 diabetes","biological marker; double stranded DNA; glucose; hemoglobin A1c; insulin; adult; aged; Alistipes; Article; Asteroleplasma; Christensenellaceae; Clostridiales; comparative study; controlled study; cross-sectional study; diagnostic accuracy; diagnostic test accuracy study; glucose blood level; glycemic control; hemoglobin blood level; human; hypertension; impaired glucose tolerance; insulin blood level; intestine flora; longitudinal study; machine learning; major clinical study; male; Muribaculaceae; non insulin dependent diabetes mellitus; obesity; Paraprevotella; phenotype; predictive value; Prevotellaceae; prospective study; random forest; Rhodospirillales; Ruminiclostridium; Shuttleworthia; Subdoligranulum"
"Abacha A.B., Zweigenbaum P.","Medical question answering: Translating medical questions into SPARQL queries","10.1145/2110363.2110372","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857758460&doi=10.1145%2f2110363.2110372&partnerID=40&md5=448b796c0c246b4d48ac506c2714f59b","Designing question answering systems requires efficient and deep analysis of natural language questions. A key process for this task is to translate the semantic relations expressed in the question into a machine-readable representation. In this paper we tackle question analysis in the medical field. More precisely, we study how to translate a natural language question into a machine-readable representation. The underlying transformation process requires determin- ing three key points: (i) What are the main characteris- tics of medical questions? (ii) Which methods are the most fitted for the extraction of these characteristics? and (iii) how to translate the extracted information into a machine- understandable representation? We present a complete question analysis approach includ- ing medical entity recognition, semantic relation extraction and automatic translation to SPARQL queries. Our study supports the fact that SPARQL can represent a wide range of natural language questions in a question-answering per- spective. Experiments on a corpus of real questions show that we obtain encouraging results in medical entity recog- nition and relation extraction. The obtained results also show that the output SPARQL queries correctly represent more than 60% of the original questions. Copyright © 2012 ACM.","Information extraction; Machine learning; Medical question analysis; Question answering; RDF; SPARQL","Information Extraction; Machine-learning; Medical question analysis; Question Answering; RDF; SPARQL; Semantic Web; Semantics; Natural language processing systems"
"Abadía J.J.P., Fritz H., Dadoulis G., Dragos K., Smarsly K.","Automated decision making in structural health monitoring using explainable artificial intelligence",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134227634&partnerID=40&md5=56788345ff3823d918d79e042d04f0a0","The need for processing large amounts of data from modern structural health monitoring (SHM) systems has been fostering interdisciplinary SHM strategies employing artificial intelligence (AI) algorithms for detecting damage. However, the opacity of several AI algorithms hinders their widespread adoption in SHM practice. To enhance the trust of practitioners in AI algorithms, this paper proposes an explainable artificial intelligence (XAI) approach for SHM. The approach builds upon the capabilities of unsupervised learning algorithms for detecting outliers indicative of structural damage in structural response data. Moreover, features in the data governing outlier detection are “explained” to the user, thus ensuring transparency in decision making. The XAI-SHM approach is validated via simulations of a pedestrian bridge that may or may not include damage. Results show that the XAI-SHM approach is capable of distinguishing between damage and random fluctuations of structural properties, while decisions made by the XAI-SHM approach are clearly explained. © 2021 Universitätsverlag der Technischen Universität Berlin. All Rights Reserved.",,"Artificial intelligence; Damage detection; Decision making; Statistics; Artificial intelligence algorithms; Automated decision making; Large amounts of data; Monitoring approach; Monitoring strategy; Response data; Structural damages; Structural health monitoring systems; Structural response; Unsupervised learning algorithms; Structural health monitoring"
"Abakarim Y., Lahby M., Attioui A.","Towards An Efficient Real-time Approach to Loan Credit Approval Using Deep Learning","10.1109/ISIVC.2018.8709173","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065975861&doi=10.1109%2fISIVC.2018.8709173&partnerID=40&md5=9416bd8089fddbb8cedbdbfa44f187f8","The last decade has seen an important rise of data gathering, especially in the financial sectors. Banks are indeed one of the biggest producers of big data, as a matter of fact no other company than the bank has so much data gathered on its customers. Gathering and analyzing this data is a key feature for decision making, particularly in banking sector. One of the most important and frequent decision banks has to make, is loan approval. The challenge is to know how to build a proactive, powerful, responsible and ethical exploitation of personal data, to make loan applicant proposals more relevant and personalized. Machine learning is a promising solution to deal with this problem. Therefor, in the last years, many algorithms based on machine learning have been proposed to solve loan approval issue. However, these algorithms have not taken into consideration Real-time paradigm during processing. In this paper, we propose a Real-Time Binary classification model to deal with loan approval. Our proposed model is based on a deep neural network, and it permits to classify loan applicant as good or bad risk. Experimental results prove that our proposed Real-Time model, based on deep neural network, outperforms typical binary classifiers, in terms of precision recall and accuracy. © 2018 IEEE.","Deep Learning; Loan approval; Machine learning; Real-time data","Decision making; Deep learning; Deep neural networks; Learning systems; Technology transfer; Banking sectors; Binary classification; Binary classifiers; Data gathering; Financial sectors; Loan approval; Real time modeling; Real-time data; Machine learning"
"Abaker A.A., Saeed F.A.","A comparative analysis of machine learning algorithms to build a predictive model for detecting diabetes complications","10.31449/inf.v45i1.3111","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105116735&doi=10.31449%2finf.v45i1.3111&partnerID=40&md5=0055c3fce3c6e5274ed12bb7d6e5e07c","Diabetes complications have a significant impact on patients’ quality of life. The objective of this study was to predict which patients were more likely to be in a complicated health condition at the time of admission to allow for the early introduction of medical interventions. The data were 644 electronic health records from Alsukari Hospital collected from January 2018 to April 2019. We used the following machine learning methods: logistic regression, random forest, and k-nearest neighbor (KNN). The logistic regression algorithm performed better than the other algorithms achieving an accuracy of 81%, recall of 81%, and F1 score of 75%. Also, attributes such as infection years, swelling, diabetic ketoacidosis, and diabetic septic foot were significant in predicting diabetes complications. This model can be useful for the identification of patients requiring additional care to limit the complications and help practitioners in making decisions on whether the patient should be hospitalized or sent home. Furthermore, we used the sequential feature selection (SFS) algorithm which reduced the features to six, which is fewer than any model built before to predict diabetes complications. The primary goal of this study was achieved. The model had fewer attributes which means we have a simple and understandable model in addition to, it has a better performance. © 2021 Slovene Society Informatika. All rights reserved.","Diabetes complications; Electronic health records; Feature selection; Logistic regression; Machine learning","Decision trees; Forecasting; Ketones; Logistic regression; Machine learning; Nearest neighbor search; Patient treatment; Predictive analytics; Comparative analysis; Electronic health record; K nearest neighbor (KNN); Logistic regression algorithms; Machine learning methods; Medical intervention; Predictive modeling; Sequential feature selections; Learning algorithms"
"Abarca-Alvarez F.J., Fernandez-Avidad A.","Generation of downtown planning-ordinances using self organizing maps",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961377744&partnerID=40&md5=c4be2b9372e9a420f44278d6f821050b","Facing the stability of typical urban ordinances, which all too frequently become outdated at the moment of their formulation, a new method of work is currently being explored. This innovation is based on feedback from the normative body via the dynamic introduction of preexistences and transformations generated by the same framework as the ordinance. The Ordinance, as a link between the urban project and architecture, should compromise with the purely urban concepts as well as the purely architectural, establishing relationship or network pattern between them. It will be that definition of relational or network pattern that we will call Network- Ordinance. And its adaptation or approximation to the same ordinance, by means of the architectural-urban proposal, will be the normative framework generated from the global, in contrast to the particular and accidental. It will be, therefore, the search for coherencies formalized in pattern that come together and display the most representative ideals and values of the selected area. By means of the objective numeric representation of the values considered useful or representative, as well as those whose interests are unknown, and their application through an artificial neuronal network, with unsupervised and competitive learning of the same type as the SOM (Self- Organizing Map) and, more concretely, Kohonen's network, the underlying structure of the same data will be discovered and represented in a comprehensible manner. The results obtained are easily interpretable, permitting the recognition of the grouping, in the form of pattern, of the architectural objects represented, allowing the verification of the integration (or not) of a new building or object into those pattern, which conform to the Network-Ordinance and what we have come to call Ecotype. The new objects allowed by this rule will then form part of the same ordinance, becoming integrated in the body of a new neuronal network, and thus acquiring feedback from the ordinance. As a verification, it is proposed that a Network-Ordinance is created for a sector of the historical center of a city in the province of Granada, in order to compare the obtained results with the proposed Ordinance by the city planning.","Downtown; Ecotype; GIS-SOM; Network; Network-ordinance; Neural network; Ordinance; Pattern; Self organizing map; SOM; Typology","Artificial intelligence; Conformal mapping; Decision support systems; Networks (circuits); Neurons; Self organizing maps; Signal encoding; Downtown; Ecotype; Ordinance; Pattern; SOM; Typology; Neural networks"
"Abavisani M., Patel V.M.","Deep Sparse Representation-Based Classification","10.1109/LSP.2019.2913022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065600933&doi=10.1109%2fLSP.2019.2913022&partnerID=40&md5=e34d4506a04c469bdb2b254274c32585","We present a transductive deep learning-based formulation for the sparse representation-based classification (SRC) method. The proposed network consists of a convolutional autoencoder along with a fully connected layer. The role of the autoencoder network is to learn robust deep features for classification. On the other hand, the fully connected layer, which is placed in between the encoder and the decoder networks, is responsible for finding the sparse representation. The estimated sparse codes are then used for classification. Various experiments on three different datasets show that the proposed network leads to sparse representations that give better classification results than state-of-the-art SRC methods. The source code is available at: github.com/mahdiabavisani/DSRC. © 1994-2012 IEEE.","Deep learning; deep sparse representation-based classification; sparse representation-based classification","Classification (of information); Auto encoders; Classification results; Source codes; Sparse codes; Sparse representation; Sparse representation based classifications; State of the art; Deep learning"
