Authors,Title,DOI,Link,Abstract,Author Keywords,Index Keywords
"Bag S., Dhamija P., Singh R.K., Rahman M.S., Sreedharan V.R.","Big data analytics and artificial intelligence technologies based collaborative platform empowering absorptive capacity in health care supply chain: An empirical study","10.1016/j.jbusres.2022.113315","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138548580&doi=10.1016%2fj.jbusres.2022.113315&partnerID=40&md5=8855afb6f8e3502e1daca75f1a0b2968","The healthcare supply chain involves the manufacturing and delivery of medicines at the right time, at the right place, and in the correct quantity. In the world of uncertainties, especially deadly pandemics, the digitalization of the healthcare supply chain has emerged as one of the urgent phenomena to implement, for which organizations are focussing on the omnichannel healthcare approach. This paper explores (a) the antecedents of big data analytics and artificial intelligence (BDA-AI) technology-based collaborative platform for empowering absorptive capacity in omnichannel health care processes; (b) the effect of BDA-AI collaborative platform powered absorptive capacity in omnichannel health care processes and organization performance. The data is collected using a structured questionnaire from healthcare supply chain executives working in South Africa. The findings indicate that the involvement of managerial factors will improve the capacity of health care organizations to develop a BDA-AI technology-driven collaborative platform to assimilate, transfer and exploit critical information from large data sets. It will capacitate healthcare supply chains to deliver innovative performance to healthcare businesses. This work is the first of its kind to examine big data-based knowledge gained in the context of the omnichannel supply chain. © 2022 Elsevier Inc.","Artificial intelligence; Big data analytics; Collaborative platform; Developing countries; Healthcare business; Healthcare supply chain; Omnichannel",
"Bassiouni M.M., Chakrabortty R.K., Hussain O.K., Rahman H.F.","Advanced deep learning approaches to predict supply chain risks under COVID-19 restrictions","10.1016/j.eswa.2022.118604","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136543366&doi=10.1016%2fj.eswa.2022.118604&partnerID=40&md5=1d02076bdad216fb84d98a662fc6a21a","The ongoing COVID-19 pandemic has created an unprecedented predicament for global supply chains (SCs). Shipments of essential and life-saving products, ranging from pharmaceuticals, agriculture, and healthcare, to manufacturing, have been significantly impacted or delayed, making the global SCs vulnerable. A better understanding of the shipment risks can substantially reduce that nervousness. Thenceforth, this paper proposes a few Deep Learning (DL) approaches to mitigate shipment risks by predicting ”if a shipment can be exported from one source to another”, despite the restrictions imposed by the COVID-19 pandemic. The proposed DL methodologies have four main stages: data capturing, de-noising or pre-processing, feature extraction, and classification. The feature extraction stage depends on two main variants of DL models. The first variant involves three recurrent neural networks (RNN) structures (i.e., long short-term memory (LSTM), Bidirectional long short-term memory (BiLSTM), and gated recurrent unit (GRU)), and the second variant is the temporal convolutional network (TCN). In terms of the classification stage, six different classifiers are applied to test the entire methodology. These classifiers are SoftMax, random trees (RT), random forest (RF), k-nearest neighbor (KNN), artificial neural network (ANN), and support vector machine (SVM). The performance of the proposed DL models is evaluated based on an online dataset (taken as a case study). The numerical results show that one of the proposed models (i.e., TCN) is about 100% accurate in predicting the risk of shipment to a particular destination under COVID-19 restrictions. Unarguably, the aftermath of this work will help the decision-makers to predict supply chain risks proactively to increase the resiliency of the SCs. © 2022 Elsevier Ltd","Classifiers; Convolutional network; COVID-19; Deep learning; Supply chain risk; Temporal convolutional network","Brain; Convolution; Decision trees; Extraction; Feature extraction; Forecasting; Long short-term memory; Nearest neighbor search; Ships; Supply chains; Support vector machines; Convolutional networks; Data capturing; De-noising; Deep learning; Global supply chain; Learning approach; Learning models; Supply-chain risks; Temporal convolutional network; COVID-19"
"Balfaqih H.","Artificial Intelligence in Logistics and Supply Chain Management: A Perspective on Research Trends and Challenges","10.1007/978-3-031-08954-1_106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135042766&doi=10.1007%2f978-3-031-08954-1_106&partnerID=40&md5=d5c0ef9f4492b76793ae43ba9296eb06","Industry 4.0 technology is a new vision towards digital transformation of logistics, manufacturing, supply chain and related industries processes. It aims to increase automation and improve communication, self-monitoring, and develop a data-driven, fully connected supply chain ecosystem. In this context, Supply Chain Management (SCM) with the advantage of Artificial Intelligence (AI) technology have gain significant attention. It is considered one of the advanced solutions in improving the information quality, making better decisions, and solving practical problems related to SCM. Several research works have been conducted in this area; however, few studies have examined the research trends and challenges of AI applications in logistics and supply chain management. The major contribution of this study is to develop a conceptual overview of the fields where AI integrates with supply chain management in order to promote further research and development provides valuable insight for logistics/supply chain managers. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Artificial Intelligence; Big Data analytics; Block chain; IoT; Machine learning; Supply Chain Management",
"Doss A.N., Maurya N., Guru K., Masood G., Jaiswal S., Naved M.","The Impact of Data Mining and Artificial Intelligence on Supply Chain Management and Environmental Performance","10.1007/978-981-19-0108-9_51","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134352257&doi=10.1007%2f978-981-19-0108-9_51&partnerID=40&md5=e2dfc5d92f9c5b486e58c60e94ef3a16","The desire of practitioners and scholars has risen over the past few years in Data Mining and artificial intelligence technology. Nevertheless, few researchers have empirically examined the value and influence of Data Mining and Artificial Intelligence on the supply chain management process. In order to address this vacuum, we have broadened the idea of organizational information processing to include Data Mining, artificial intelligence, and online education as a stabilizer of the operation of the supply chain. To evaluate a selection of 164 France health facilities using a, respectively. Finally square linear extrapolation structural equation modeling approach, we built a theoretical framework. The research found a major impact on various production processes and on green supply chain management through the application of Data Mining and artificial intelligence technology. The study also examined the considerable influence of environmental performance on environmental convergence and green supply chain cooperation. The outcomes propose the moderating function of green student technologies in connections between large-scale data mining and artificial intelligence and green supply chain cooperation. This paper offers significant insight into the deployment of Data Mining and artificial intelligence technology to achieve supply chain operations and increase sustainable development. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Artificial intelligence; Data mining; Environmental performance; Supply chain","Artificial intelligence; Data handling; Environmental management; Environmental technology; Supply chain management; Sustainable development; Artificial intelligence technologies; Environmental performance; Green supply chain; Health facilities; Linear extrapolation; Management process; On-line education; Organizational information processing; Stabiliser; Supply chain cooperation; Data mining"
"Sharma D., Jamwal A., Agrawal R., Jain J.K., Machado J.","Decision Making Models for Sustainable Supply Chain in Industry 4.0: Opportunities and Future Research Agenda","10.1007/978-3-031-09360-9_15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133295961&doi=10.1007%2f978-3-031-09360-9_15&partnerID=40&md5=53bd9809538f6c9acf18ee57efb9c0b4","Managing supply chain activities have become a critical issue for manufacturing organization due to globalization and challenges faced by sustainability. Performance of supply chain can be evaluated by indicators and other factors. The evaluation of these factors becomes difficult due to lack of benchmarks and evaluation method. The supply chain has wide range of opportunities in the Industry 4.0 which is driven by many key enabling technologies such as: artificial intelligence, machine learning, deep learning and blockchain technology. These technologies have a positive impact on the sustainability performance of the supply chain activities. The decision-making models plays an important role in the evaluation of the supply chain strategies. The present study aims to identify and report the different models used in the sustainable supply chain management. These models are multi-criteria decision-making models, multi-objective-based models, artificial intelligence-based models. Bibliometric analysis is done with the VOSviewer and R studio using the bibliographic data of digital scientific databases. The content analysis is done after the bibliometric analysis based on the cluster analysis done in R studio. The main research areas and future research directions have been reported in the end of study. It is expected that this study can be helpful for the practitioners, policymakers and academia working in the area of sustainable supply chain management. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Decision making models; Industry 4.0; Meta heuristics; Supply chain management; Sustainability","Cluster analysis; Decision making; Deep learning; Engineering education; Industry 4.0; Learning systems; Studios; Supply chain management; Bibliometrics analysis; Critical issues; Decision-making modeling; Evaluation methods; Globalisation; Manufacturing organizations; Metaheuristic; Performance; Research agenda; Sustainable supply chains; Sustainable development"
"Ashima R., Haleem A., Bahl S., Nandan D., Javaid M.","Automation of AM Via IoT Towards Implementation of e-logistics in Supply Chain for Industry 4.0","10.1007/978-981-16-9057-0_20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129917913&doi=10.1007%2f978-981-16-9057-0_20&partnerID=40&md5=e0a5f1d71959217cbee5a358f0b3ed5e","The primary objective of this paper is to identify how industrial automation of additive manufacturing technology using Internet of Things (IoT) will leverage the quality of existing supply chain management processes. The importance of the implementation of e-logistics in supply chain operations is also delineated. An intensive desk-based literature survey study identifies potential advantages of incorporating IoT automated additive manufacturing to improve supply chain processes. We also discuss how the automation of logistics operations, also known as e-logistics, will help modernize supply chain management. The research paper comprises theoretical work about the application of automated additive manufacturing and e-logistics in modern supply chains. Detailed analysis on the advantages of implementing automated additive manufacturing technology and e-logistics in the supply chain is performed. Due to the novelty of the area, we have conducted this study based on available research material, and it is pretty limited. Various digital technologies introduced as a part of the fourth industrial revolution, such as artificial intelligence, machine learning, augmented reality, digital twins, and robotic process automation are being incorporated by supply chains to reduce the overall cost of production. The top-notch organizations are embracing supply chain automation for cutting down on operational costs and eliminating shortages. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Additive manufacturing; Automation; e-logistics; Global supply chains; Industry 4.0; Internet of things","Additives; Augmented reality; Automation; Engineering education; Industrial research; Industry 4.0; Internet of things; Supply chain management; Additive manufacturing technology; e-Logistics; Global supply chain; Industrial automation; Literature survey; Logistic operations; Management process; Primary objective; Supply chain operation; Supply chain process; 3D printers"
"Ma Z.","An Optimization Algorithm of Overseas Surgical Warehouse Location of Cross-Border Medical Supply Chain Network Based on Parallel Big Data Mining","10.1520/JTE20210449","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125381517&doi=10.1520%2fJTE20210449&partnerID=40&md5=3fa9cb4a484894ed00a0cc41a4b4f2ac","Because the current algorithm fails to combine the actual needs of the demand area to build the market-value evaluation system, the user satisfaction and optimal probability decrease, and the minimum cost of the system increases. This paper proposes an optimization algorithm of overseas surgical warehouse location in the cross-border medical supply chain network based on parallel big data mining. Taking the overseas warehouse location problem of cross-border e-commerce enterprises as the research background, the paper establishes an overseas warehouse with parallel big data mining technology in the case of domestic supply points determined, so as to meet the demand of the overseas market for distribution services. According to the cross-border transportation cost, local transportation cost, and warehouse building operation cost, the total logistics cost of overseas warehouse mode is composed; the actual demand of overseas warehouse location is analyzed; and the market value is introduced into the decision-making of overseas warehouse location. Through the preliminary analysis of the factors affecting the market value, combined with the level analysis method, the market-value evaluation system of demand area is constructed, and the market value right of each demand area is calculated. By introducing the concept of time window, the customer satisfaction function is established based on whether the delivery time meets the customer's psychological expectation; by introducing market value and customer satisfaction, the multi-objective location model of customer satisfaction considering cost and market value is established. The improved particle swarm optimization algorithm is applied to the multi-objective model to solve the multi-objective location problem with constraints, so as to obtain a higher market share and determine the best location. Simulation results show that the proposed algorithm can effectively improve user satisfaction and optimal probability and reduce the lowest cost of the system. Copyright © 2022 by ASTM International","Cross-border supply chain network; Location optimization algorithm; Overseas warehouse; Parallel big data mining","Big data; Commerce; Competition; Costs; Customer satisfaction; Decision making; Hospitals; Location; Particle swarm optimization (PSO); Sales; Supply chains; Surgery; Warehouses; Cross-border; Cross-border supply chain network; Customers' satisfaction; Market values; Network-based; Optimization algorithms; Oversea warehouse; Parallel big data mining; Supply chain network; Warehouse location; Data mining"
"Khan A.A., Abonyi J.","Information sharing in supply chains – Interoperability in an era of circular economy","10.1016/j.clscn.2022.100074","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135848748&doi=10.1016%2fj.clscn.2022.100074&partnerID=40&md5=856acd757a8cb764185fc4bb216364c5","In order to realize the goals of Industry 5.0 (I5.0), which has data interoperability as one of its core principles, the future research in the Supply Chain (SC) visibility has to be aligned with socially, economically and environmentally sustainable objectives. Within the purview of circular economy, this paper indicates various aspects and implications of data sharing in the SCs in light of the published research. Taking into consideration the heterogeneity of data sources and standards, this article also catalogs all the major data-sharing technologies being employed in sharing data digitally across the SCs. Drawing on the published research from 2015 to 2021, following the PRISMA framework, this paper presents the state of research in the field of data sharing in SCs in terms of their standardization, optimization, simulation, automation, security and more notably sustainability. Using the co-occurrence metric, bibliometric analysis has been conducted such that the collected research is categorized under various keyword clusters and regional themes. This article brings together two major themes in reviewing the research in the field. Firstly, the bibliometric analysis of the published articles demonstrates the contours of the current state of research and the future possibilities in the field. Secondly, in synthesizing the research on the foundations of sustainability within the CRoss Industry Standard Process for Data Mining (CRISP-DM) framework, this article deals with various aspects and implications of information sharing in the SCs. By bringing these two themes together, this paper affords a prospective researcher with the research vis-à-vis the information sharing in SC, starting from the actual data standards in use to the modality and consequence of their application within the perspective of the circular economy. This article, in essence, indicates how all the aspects of data sharing in SCs may be brought together in service of the paradigm of I5.0. © 2022","Circular economy; Data Integration; Industry 5.0; Interoperability; Optimization; SSCM; Supply chain data standards; Supply chains informatics",
"Shokouhifar M., Ranjbarimesan M.","Multivariate time-series blood donation/demand forecasting for resilient supply chain management during COVID-19 pandemic","10.1016/j.clscn.2022.100078","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135708026&doi=10.1016%2fj.clscn.2022.100078&partnerID=40&md5=f59527aa4953075aea93c65cc2cfdf46","COVID-19 has caused negative impacts on blood supply chain management, due to uncertain supply/demand and logistical disruptions. In the early weeks following the COVID-19 pandemic, 20–30% reduction in blood donation had observed, which adversely affected the whole blood supply chain. Although this shortage was partially compensated through rescheduling of elective surgeries and shifting some inpatient surgeries to outpatient surgeries, resumption of the normal surgeries by hospitals had increased the demands for the blood products. At the same time, the total blood supply was increased by some measures taken to overcome the blood shortage. In this paper, a multivariate time-series deep learning model based on long short-term memory is proposed to forecast the blood donation/demand. It takes daily time-series of blood donation/demand (internal features) as well as daily time-series of new confirmed COVID-19 cases/deaths (external features) as its inputs, and predicts blood donation/demand for the next week. The proposed model is used to achieve a resilient blood inventory management, capable of handling the uncertainties occurring during the COVID-19 pandemic. The proposed blood donation/demand forecasting model has been successfully simulated on the collected data of Tehran Blood Center in Tehran, Iran, for a time period from February 24, 2020, to October 14, 2021. Obtained results show the efficiency of the proposed model by obtaining 6.1% and 6.5% error between the actual and forecasted values of the number of donations and demands, respectively. The results of applying the proposed model for inventory management of blood platelets demonstrate the resiliency of our model to reduce shortage and wastage rates against the existing uncertainty handling models by 32.1% and 26.6%, respectively. The proposed method can be used to assist the decision makers in managing the blood supply chains through prioritizing the blood transfusions during COVID-19 and similar pandemics in the future. © 2022 The Author(s)","Blood supply chain; COVID-19; Inventory management; Long short-term memory; Multivariate time-series forecasting",
"Mitra R., Goswami A., Tiwari M.K.","Financial supply chain analysis with borrower identification in smart lending platform","10.1016/j.eswa.2022.118026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134776250&doi=10.1016%2fj.eswa.2022.118026&partnerID=40&md5=b89b126f9925a499e8876d844bfddad7","The popularity of the online peer-to-peer (P2P) lending platform in the financial supply chain (FSC) has grown tremendously in the past few years. However, it is pretty challenging to develop an efficient financial supply chain for Micro, Small, and Medium-Sized Enterprises (MSMEs) by providing credits and services. In this research, an FSC model analyzes by emphasizing the retailer and supplier relationship. The retailer predicts the market demand to maximize profit, and accordingly, orders to the suppliers and suppliers utilize the production capabilities in limited monetary value. In such a case, the supplier also needs to apply for loans to meet the production commitment. With an intelligent lending platform, applicants can get loans quickly and more conveniently from the lenders. Still, identifying defaulter borrowers is a difficult task on the peer-to-peer lending platform. The main focus of the lenders is to maximize profit and minimize risk by giving the loan to non-defaulter suppliers. The present study describes the importance of the financial parameters (λ) of the retailers and suppliers (MSMEs) and their impact on the related supply chain. We provide the proof of dependency of the financial parameter on the cost of debt and the ratio of the debt-to-equity by developing two propositions. We propose an innovative k-Random Boosting Classifiers (k-RBC) algorithm for identifying potential good and bad borrowers to capture this case. The time complexity of the k-RBC algorithm is O(n2log(n)). The results obtained from the study show a significant improvement in comparison to the outputs from existing approaches on the same datasets. Our algorithm gives 90% accuracy to identify potential good borrowers, whereas existing algorithms achieve up to 87% accuracy. Furthermore, the importance of the borrowers’ features and its impact are analyzed of the lending platform in FSC. © 2022 Elsevier Ltd","Collaborative filtering; Machine learning; Peer-to-peer lending platform; Random forest; Similarity estimation; Supply chain finance","Collaborative filtering; Decision trees; Finance; Machine learning; Sales; Supply chains; Boosting classifiers; Financial parameters; Financial supply chains; Machine-learning; Peer-to-peer lending; Peer-to-peer lending platform; Random forests; Similarity estimation; Small and medium-sized enterprise; Supply chain finances; Profitability"
